file,class,method,variable,usage
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,classStaticDeclarCheck/1[java.lang.String],symbolTables,3
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,classStaticDeclarCheck/1[java.lang.String],Type,3
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,classStaticDeclarCheck/1[java.lang.String],className,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,classStaticDeclarCheck/1[java.lang.String],classArrayNumOfEle,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,subroutineCallCheck/0,symbolTables,46
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,subroutineCallCheck/0,Type,3
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,subroutineCallCheck/0,jackClasses,6
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,subroutineCallCheck/0,otherClassType,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,subroutineCallCheck/0,pushCounter,19
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,subroutineCallCheck/0,functionName,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,subroutineCallCheck/0,className,17
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,subroutineCallCheck/0,lexer,31
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,subroutineCallCheck/0,returnType,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,subroutineCallCheck/0,expressionReturnType,12
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,vmCodeInput/1[java.lang.String],className,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,vmCodeInput/1[java.lang.String],lexer,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,ifStatementCheck/0,functionName,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,ifStatementCheck/0,ifCounter,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,ifStatementCheck/0,lastFunctionName,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,ifStatementCheck/0,oldToken,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,ifStatementCheck/0,className,6
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,ifStatementCheck/0,textContent,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,ifStatementCheck/0,lexer,38
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,expression/0,className,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,expression/0,lexer,5
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,expression/0,expressionReturnType,4
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,relationalExpression/0,className,3
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,relationalExpression/0,lexer,8
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,relationalExpression/0,expressionReturnType,7
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,classFunctionsCheck/1[java.lang.String],symbolTables,4
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,classFunctionsCheck/1[java.lang.String],Type,7
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,classFunctionsCheck/1[java.lang.String],classFieldVar,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,whileStatementCheck/0,oldToken,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,whileStatementCheck/0,whileCounter,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,whileStatementCheck/0,className,4
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,whileStatementCheck/0,textContent,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,whileStatementCheck/0,lexer,22
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,vmFileCreate/0,className,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,vmFileCreate/0,lexer,1
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,vmFileCreate/0,vmFile,3
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,factor/0,className,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,factor/0,lexer,6
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,factor/0,expressionReturnType,2
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,localFileCheck/1[java.lang.String],className,3
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,localFileCheck/1[java.lang.String],lexer,1
